id,card_text
Call_Func:ActionScheduler_DBStore->generate_claim_id(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->generate_claim_id() ACCESSES_TABLES:wp_actionscheduler_claims CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/data-stores/ActionScheduler_DBStore.php
Call_Func:ActionScheduler_DBStore->get_claim_id(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->get_claim_id() ACCESSES_TABLES:wp_actionscheduler_actions CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_ListTable.php
Call_Func:ActionScheduler_DBStore->get_date_gmt(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->get_date_gmt() ACCESSES_TABLES:wp_actionscheduler_actions CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/data-stores/ActionScheduler_DBStore.php
Call_Func:ActionScheduler_DBStore->get_status(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->get_status() ACCESSES_TABLES:wp_actionscheduler_actions CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_ListTable.php /var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/abstracts/ActionScheduler_Abstract_QueueRunner.ph
Call_Func:ActionScheduler_DBStore->mark_complete(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->mark_complete() ACCESSES_TABLES:wp_actionscheduler_actions CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/abstracts/ActionScheduler_Abstract_QueueRunner.ph
Call_Func:ActionScheduler_DBStore->query_actions(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->query_actions() ACCESSES_TABLES:wp_actionscheduler_actions CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_ListTable.php
Call_Func:ActionScheduler_DBStore->release_claim(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ActionScheduler_DBStore->release_claim() ACCESSES_TABLES:wp_actionscheduler_actions wp_actionscheduler_claims CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_QueueRunner.php
Call_Func:AutomatticWAARCDataStore::get_existing_customer_id_from_order(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWAARCDataStore::get_existing_customer_id_from_order() ACCESSES_TABLES:wp_wc_order_stats CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Admin/API/Reports/Customers/DataStore.php
Call_Func:AutomatticWAARCDataStore::get_last_order(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWAARCDataStore::get_last_order() ACCESSES_TABLES:wp_wc_order_stats CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Admin/API/Reports/Customers/DataStore.php
Call_Func:AutomatticWAARCDataStore::sync_order_coupons(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWAARCDataStore::sync_order_coupons() ACCESSES_TABLES:wp_wc_order_coupon_lookup CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Admin/Schedulers/OrdersScheduler.php
Call_Func:AutomatticWAARCDataStore::sync_order_customer(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWAARCDataStore::sync_order_customer() ACCESSES_TABLES:wp_wc_customer_lookup CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Admin/Schedulers/OrdersScheduler.php
Call_Func:AutomatticWAARODataStore::get_all_statuses(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWAARODataStore::get_all_statuses() ACCESSES_TABLES:wp_wc_order_stats CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Admin/Settings.php
Call_Func:AutomatticWAAROSDataStore::update(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWAAROSDataStore::update() ACCESSES_TABLES:wp_wc_order_stats CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Admin/API/Reports/Orders/Stats/DataStore.php
Call_Func:AutomatticWAARPDataStore::sync_order_products(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWAARPDataStore::sync_order_products() ACCESSES_TABLES:wp_wc_order_product_lookup CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Admin/Schedulers/OrdersScheduler.php
Call_Func:AutomatticWAARTSDataStore::get_taxes(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWAARTSDataStore::get_taxes() ACCESSES_TABLES:wp_woocommerce_tax_rates CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Admin/Features/OnboardingTasks/Tasks/Tax.php
Call_Func:AutomatticWANDataStore->get_notes(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWANDataStore->get_notes() ACCESSES_TABLES:wp_wc_admin_notes CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php
Call_Func:AutomatticWANDataStore->get_notes_count(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWANDataStore->get_notes_count() ACCESSES_TABLES:wp_wc_admin_notes CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php
Call_Func:AutomatticWANDataStore->read(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWANDataStore->read() ACCESSES_TABLES:wp_wc_admin_notes CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php
Call_Func:AutomatticWANDataStore->read_actions(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWANDataStore->read_actions() ACCESSES_TABLES:wp_wc_admin_note_actions CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Admin/Notes/DataStore.php
Call_Func:AutomatticWBBAbstractProductGrid->prime_product_variations(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWBBAbstractProductGrid->prime_product_variations() ACCESSES_TABLES:wp_posts CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Blocks/BlockTypes/AbstractProductGrid.php
Call_Func:AutomatticWCHReserveStock->release_stock_for_order(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWCHReserveStock->release_stock_for_order() ACCESSES_TABLES:wp_wc_reserved_stock CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/wc-stock-functions.php
Call_Func:AutomatticWIACategoryLookup->update(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWIACategoryLookup->update() ACCESSES_TABLES: CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Admin/CategoryLookup.php
Call_Func:AutomatticWIDCustomMetaDataStore->add_meta(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWIDCustomMetaDataStore->add_meta() ACCESSES_TABLES:wp_wc_orders_meta CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/DataStores/Orders/OrdersTableDataStore.php
Call_Func:AutomatticWIDOOrdersTableDataStore->get_order_data_for_ids(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWIDOOrdersTableDataStore->get_order_data_for_ids() ACCESSES_TABLES:wp_wc_orders_meta CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/DataStores/Orders/OrdersTableDataStore.php
Call_Func:AutomatticWIDOOrdersTableDataStore->get_orders_type(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWIDOOrdersTableDataStore->get_orders_type() ACCESSES_TABLES:wp_wc_orders CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/DataStores/Orders/OrdersTableDataStore.php
Call_Func:AutomatticWIPLookupDataStore->delete_data_for(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWIPLookupDataStore->delete_data_for() ACCESSES_TABLES:wp_wc_product_attributes_lookup CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/ProductAttributesLookup/LookupDataStore.php
Call_Func:AutomatticWIPLookupDataStore->update_stock_status_for(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWIPLookupDataStore->update_stock_status_for() ACCESSES_TABLES: CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/ProductAttributesLookup/LookupDataStore.php
Call_Func:AutomatticWIUDatabaseUtil->dbdelta(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWIUDatabaseUtil->dbdelta() ACCESSES_TABLES:wp_woocommerce_sessions wp_woocommerce_api_keys wp_woocommerce_attribute_taxonomies wp_woocommerce_downloadable_product_permissions wp_woocommerce_order_items wp_woocommerce_order_itemmeta wp_woocommerce_tax_rates wp_woocommerce_tax_rate_locations wp_woocommerce_shipping_zones wp_woocommerce_shipping_zone_locations wp_woocommerce_shipping_zone_methods wp_woocommerce_payment_tokens wp_woocommerce_payment_tokenmeta wp_woocommerce_log wp_wc_webhooks wp_wc_download_log wp_wc_product_meta_lookup wp_wc_tax_rate_classes wp_wc_reserved_stock wp_wc_rate_limits wp_wc_product_attributes_lookup wp_wc_product_download_directories wp_wc_order_stats wp_wc_order_product_lookup wp_wc_order_tax_lookup wp_wc_order_coupon_lookup wp_wc_admin_notes wp_wc_admin_note_actions wp_wc_customer_lookup wp_wc_category_lookup wp_wc_orders wp_wc_order_addresses wp_wc_order_operational_data wp_wc_orders_meta CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
Call_Func:AutomatticWIUDatabaseUtil->insert_on_duplicate_key_update(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:AutomatticWIUDatabaseUtil->insert_on_duplicate_key_update() ACCESSES_TABLES: CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/DataStores/Orders/OrdersTableDataStore.php
Call_Func:WC_Admin_Report::enable_big_selects(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WC_Admin_Report::enable_big_selects() ACCESSES_TABLES: CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/admin/reports/class-wc-admin-report.php
Call_Func:WC_Data_Store_WP->read_meta(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WC_Data_Store_WP->read_meta() ACCESSES_TABLES:wp_usermeta wp_woocommerce_order_itemmeta wp_postmeta CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php
Call_Func:WC_Data_Store_WP->update_lookup_table(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WC_Data_Store_WP->update_lookup_table() ACCESSES_TABLES:wp_wc_product_meta_lookup CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/data-stores/class-wc-product-data-store-cpt.php
Call_Func:WC_Report_Low_In_Stock->get_items(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WC_Report_Low_In_Stock->get_items() ACCESSES_TABLES: CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/admin/reports/class-wc-report-stock.php
Call_Func:WC_Shipping_Zone_Data_Store->get_methods(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WC_Shipping_Zone_Data_Store->get_methods() ACCESSES_TABLES:wp_woocommerce_shipping_zone_methods CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php
Call_Func:WC_Shipping_Zone_Data_Store->get_zones(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WC_Shipping_Zone_Data_Store->get_zones() ACCESSES_TABLES:wp_woocommerce_shipping_zones CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php
Call_Func:WC_Shipping_Zone_Data_Store->read_zone_locations(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WC_Shipping_Zone_Data_Store->read_zone_locations() ACCESSES_TABLES:wp_woocommerce_shipping_zone_locations CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/data-stores/class-wc-shipping-zone-data-store.php
Call_Func:WC_Tax::get_tax_rate_classes(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WC_Tax::get_tax_rate_classes() ACCESSES_TABLES:wp_wc_tax_rate_classes CALLED_FROM_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-tax.php
Call_Func:WP_Comment::get_instance(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WP_Comment::get_instance() ACCESSES_TABLES:wp_comments CALLED_FROM_FILES:/var/www/html/wp-includes/comment.php
Call_Func:WP_Post::get_instance(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WP_Post::get_instance() ACCESSES_TABLES:wp_posts CALLED_FROM_FILES:/var/www/html/wp-includes/post.php
Call_Func:WP_Query->set_found_posts(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WP_Query->set_found_posts() ACCESSES_TABLES: CALLED_FROM_FILES:/var/www/html/wp-includes/class-wp-query.php
Call_Func:WP_Term::get_instance(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WP_Term::get_instance() ACCESSES_TABLES:wp_terms CALLED_FROM_FILES:/var/www/html/wp-includes/taxonomy.php
Call_Func:WP_Term_Query->get_terms(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WP_Term_Query->get_terms() ACCESSES_TABLES:wp_terms CALLED_FROM_FILES:/var/www/html/wp-includes/class-wp-term-query.php
Call_Func:WP_User_Query->query(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:WP_User_Query->query() ACCESSES_TABLES:wp_users CALLED_FROM_FILES:/var/www/html/wp-includes/class-wp-user-query.php
Call_Func:ZephyrProjectManagerBaseAjaxHandler->new_task(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerBaseAjaxHandler->new_task() ACCESSES_TABLES:wp_zpm_tasks CALLED_FROM_FILES:/var/www/html/wp-includes/class-wp-hook.php
Call_Func:ZephyrProjectManagerBaseAjaxHandler->send_comment(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerBaseAjaxHandler->send_comment() ACCESSES_TABLES:wp_zpm_messages CALLED_FROM_FILES:/var/www/html/wp-includes/class-wp-hook.php
Call_Func:ZephyrProjectManagerCoreActivity::get_activities(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerCoreActivity::get_activities() ACCESSES_TABLES:wp_zpm_activity CALLED_FROM_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/templates/activity.php
Call_Func:ZephyrProjectManagerCoreActivity::log_activity(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerCoreActivity::log_activity() ACCESSES_TABLES:wp_zpm_activity CALLED_FROM_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Projects.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Base/AjaxHandler.php
Call_Func:ZephyrProjectManagerCoreCategories::fetch(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerCoreCategories::fetch() ACCESSES_TABLES:wp_zpm_categories CALLED_FROM_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/includes/ZephyrProjectManager.php
Call_Func:ZephyrProjectManagerCoreProjects::get_project(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerCoreProjects::get_project() ACCESSES_TABLES:wp_zpm_projects CALLED_FROM_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/includes/Base/AjaxHandler.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Projects.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Api/Emails.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Pages/Admin.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/project-single.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/new_task.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/ZephyrProjectManager.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/task-single.php
Call_Func:ZephyrProjectManagerCoreProjects::get_projects(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerCoreProjects::get_projects() ACCESSES_TABLES:wp_zpm_projects CALLED_FROM_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/includes/ZephyrProjectManager.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Projects.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/new_task.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/tasks.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/task-single.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/calendar.php /var/www/html/wp-content/plugins/zephyr-project-manager/templates/settings.php
Call_Func:ZephyrProjectManagerCoreProjects::mark_complete(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerCoreProjects::mark_complete() ACCESSES_TABLES:wp_zpm_projects CALLED_FROM_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/includes/Base/AjaxHandler.php
Call_Func:ZephyrProjectManagerCoreProjects::new_project(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerCoreProjects::new_project() ACCESSES_TABLES:wp_zpm_projects CALLED_FROM_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/includes/Base/AjaxHandler.php
Call_Func:ZephyrProjectManagerCoreProjects::project_created_by(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerCoreProjects::project_created_by() ACCESSES_TABLES:wp_zpm_projects CALLED_FROM_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/project-single.php
Call_Func:ZephyrProjectManagerCoreTasks::task_created_by(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:ZephyrProjectManagerCoreTasks::task_created_by() ACCESSES_TABLES:wp_zpm_tasks CALLED_FROM_FILES:/var/www/html/wp-content/plugins/zephyr-project-manager/templates/parts/task-single.php
Call_Func:_prime_comment_caches(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:_prime_comment_caches() ACCESSES_TABLES:wp_comments CALLED_FROM_FILES:/var/www/html/wp-includes/class-wp-comment-query.php
Call_Func:_prime_post_caches(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:_prime_post_caches() ACCESSES_TABLES:wp_posts CALLED_FROM_FILES:/var/www/html/wp-includes/class-wp-query.php /var/www/html/wp-content/plugins/woocommerce/src/Blocks/Assets/AssetDataRegistry.php /var/www/html/wp-includes/class-wp-comment-query.php /var/www/html/wp-includes/post.php /var/www/html/wp-admin/includes/class-wp-posts-list-table.php /var/www/html/wp-content/plugins/woocommerce/src/Blocks/BlockTypes/AbstractProductGrid.php /var/www/html/wp-content/plugins/woocommerce/includes/class-wc-cart-session.php
Call_Func:_prime_term_caches(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:_prime_term_caches() ACCESSES_TABLES:wp_terms CALLED_FROM_FILES:/var/www/html/wp-includes/class-wp-term-query.php
Call_Func:_split_shared_term(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:_split_shared_term() ACCESSES_TABLES:wp_term_taxonomy CALLED_FROM_FILES:/var/www/html/wp-includes/taxonomy.php
Call_Func:_update_post_term_count(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:_update_post_term_count() ACCESSES_TABLES: CALLED_FROM_FILES:/var/www/html/wp-includes/taxonomy.php /var/www/html/wp-content/plugins/woocommerce/includes/wc-term-functions.php
Call_Func:add_metadata(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:add_metadata() ACCESSES_TABLES:wp_postmeta wp_commentmeta wp_termmeta wp_woocommerce_order_itemmeta CALLED_FROM_FILES:/var/www/html/wp-includes/meta.php /var/www/html/wp-includes/post.php /var/www/html/wp-includes/comment.php
Call_Func:cache_users(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:cache_users() ACCESSES_TABLES:wp_users CALLED_FROM_FILES:/var/www/html/wp-includes/class-wp-user-query.php
Call_Func:clean_term_cache(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:clean_term_cache() ACCESSES_TABLES:wp_term_taxonomy CALLED_FROM_FILES:/var/www/html/wp-includes/taxonomy.php
Call_Func:delete_option(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:delete_option() ACCESSES_TABLES:wp_options CALLED_FROM_FILES:/var/www/html/wp-includes/option.php /var/www/html/wp-includes/taxonomy.php
Call_Func:get_metadata_by_mid(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:get_metadata_by_mid() ACCESSES_TABLES:wp_postmeta CALLED_FROM_FILES:/var/www/html/wp-admin/includes/post.php /var/www/html/wp-includes/meta.php
Call_Func:has_meta(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:has_meta() ACCESSES_TABLES:wp_postmeta CALLED_FROM_FILES:/var/www/html/wp-admin/includes/meta-boxes.php
Call_Func:sanitize_option(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:sanitize_option() ACCESSES_TABLES:wp_options CALLED_FROM_FILES:/var/www/html/wp-includes/option.php
Call_Func:update_meta_cache(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:update_meta_cache() ACCESSES_TABLES:wp_usermeta wp_postmeta wp_woocommerce_order_itemmeta wp_termmeta wp_commentmeta CALLED_FROM_FILES:/var/www/html/wp-includes/meta.php /var/www/html/wp-includes/post.php /var/www/html/wp-includes/pluggable.php /var/www/html/wp-includes/class-wp-metadata-lazyloader.php /var/www/html/wp-includes/comment.php
Call_Func:update_metadata(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:update_metadata() ACCESSES_TABLES:wp_usermeta wp_postmeta wp_termmeta CALLED_FROM_FILES:/var/www/html/wp-includes/user.php /var/www/html/wp-includes/post.php /var/www/html/wp-includes/taxonomy.php
Call_Func:update_metadata_by_mid(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:update_metadata_by_mid() ACCESSES_TABLES:wp_postmeta CALLED_FROM_FILES:/var/www/html/wp-admin/includes/post.php
Call_Func:update_option(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:update_option() ACCESSES_TABLES:wp_options CALLED_FROM_FILES:/var/www/html/wp-includes/option.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Pages/Admin.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Projects.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Utillities.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Members.php
Call_Func:wp_allow_comment(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:wp_allow_comment() ACCESSES_TABLES:wp_posts CALLED_FROM_FILES:/var/www/html/wp-includes/comment.php
Call_Func:wp_insert_comment(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:wp_insert_comment() ACCESSES_TABLES:wp_comments CALLED_FROM_FILES:/var/www/html/wp-includes/comment.php
Call_Func:wp_insert_post(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:wp_insert_post() ACCESSES_TABLES:wp_posts CALLED_FROM_FILES:/var/www/html/wp-admin/includes/post.php /var/www/html/wp-includes/post.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/DataStores/Orders/OrdersTableDataStore.php
Call_Func:wp_insert_term(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:wp_insert_term() ACCESSES_TABLES:wp_terms wp_term_taxonomy CALLED_FROM_FILES:/var/www/html/wp-includes/taxonomy.php /var/www/html/wp-admin/includes/ajax-actions.php
Call_Func:wp_insert_user(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:wp_insert_user() ACCESSES_TABLES:wp_users CALLED_FROM_FILES:/var/www/html/wp-includes/user.php
Call_Func:wp_set_comment_status(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:wp_set_comment_status() ACCESSES_TABLES:wp_comments CALLED_FROM_FILES:/var/www/html/wp-includes/comment.php
Call_Func:wp_set_object_terms(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:wp_set_object_terms() ACCESSES_TABLES:wp_term_relationships CALLED_FROM_FILES:/var/www/html/wp-includes/post.php /var/www/html/wp-content/plugins/woocommerce/includes/data-stores/class-wc-product-data-store-cpt.php
Call_Func:wp_update_comment_count_now(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:wp_update_comment_count_now() ACCESSES_TABLES: CALLED_FROM_FILES:/var/www/html/wp-includes/comment.php
Call_Func:wp_update_term(),ENTITY_TYPE:FUNCTION ENTITY_VALUE:wp_update_term() ACCESSES_TABLES:wp_terms wp_term_taxonomy CALLED_FROM_FILES:/var/www/html/wp-admin/edit-tags.php
